,default,min_abs_bias,min_rmsd,observation
0.5,17.537,18.614,18.318,17.816
1.5,17.537,18.614,18.318,17.548
2.5,17.537,18.614,18.318,17.446
3.5,17.537,18.614,18.318,17.147
4.5,17.537,18.614,18.318,16.56
5.5,17.537,18.614,18.318,15.052
6.5,17.537,16.243,15.521,13.664
7.5,17.537,13.938,13.602,12.162
8.5,17.537,11.835,12.028,10.72
9.5,17.537,8.963,10.687,9.756
10.5,16.997,7.482,9.574,9.085
11.5,14.907,6.642,8.675,8.465
12.5,14.136,6.093,7.961,7.616
13.5,13.559,5.705,7.397,6.736
14.5,13.099,5.415,6.952,6.451
15.5,12.72,5.169,6.598,6.258
16.5,12.402,4.972,6.315,6.054
17.5,12.131,4.82,6.085,5.893
18.5,11.899,4.707,5.88,5.856
19.5,11.699,4.623,5.691,5.729
20.5,11.526,4.562,5.52,5.634
21.5,11.376,4.518,5.366,5.589
22.5,11.245,4.485,5.229,5.591
23.5,11.13,4.462,5.107,5.545
24.5,11.03,4.445,5.001,5.539
25.5,10.941,4.432,4.908,5.543
26.5,10.862,4.423,4.827,5.541
27.5,10.791,4.416,4.758,5.522
28.5,10.724,4.411,4.699,5.516
29.5,10.661,4.407,4.648,5.512
