,default,min_abs_bias,min_rmsd,observation
0.5,16.257,17.949,17.949,18.5
1.5,16.257,17.949,17.949,18.421
2.5,16.257,17.949,17.949,18.29
3.5,16.257,17.949,17.949,17.947
4.5,16.257,17.949,17.949,16.323
5.5,16.257,17.949,17.949,13.314
6.5,16.257,17.233,17.233,11.547
7.5,16.257,13.316,13.316,10.482
8.5,16.257,12.045,12.045,9.66
9.5,16.257,10.707,10.707,8.827
10.5,16.257,8.836,8.836,8.27
11.5,13.315,6.825,6.825,7.416
12.5,12.275,5.808,5.808,6.632
13.5,11.57,5.281,5.281,6.072
14.5,11.019,4.936,4.936,5.773
15.5,10.57,4.665,4.665,5.59
16.5,10.195,4.464,4.464,5.474
17.5,9.879,4.321,4.321,5.305
18.5,9.609,4.22,4.22,5.217
19.5,9.378,4.152,4.152,5.146
20.5,9.178,4.105,4.105,5.081
21.5,9.005,4.073,4.073,5.03
22.5,8.854,4.051,4.051,4.975
23.5,8.722,4.036,4.036,4.926
24.5,8.606,4.025,4.025,4.874
25.5,8.501,4.018,4.018,4.833
26.5,8.402,4.013,4.013,4.792
27.5,8.31,4.009,4.009,4.764
28.5,8.223,4.007,4.007,4.737
29.5,8.142,4.005,4.005,4.702
30.5,8.066,4.003,4.003,4.647
31.5,7.996,4.002,4.002,4.587
32.5,7.93,4.002,4.002,4.566
33.5,7.868,4.001,4.001,4.531
34.5,7.811,4.001,4.001,4.486
35.5,7.758,4.001,4.001,4.465
36.5,7.709,4.0,4.0,4.445
37.5,7.663,4.0,4.0,4.44
38.5,7.62,4.0,4.0,4.422
39.5,7.581,4.0,4.0,4.396
40.5,7.544,4.0,4.0,4.366
41.5,7.51,4.0,4.0,4.346
42.5,7.479,4.0,4.0,4.311
43.5,7.449,4.0,4.0,4.292
44.5,7.422,4.0,4.0,4.278
45.5,7.397,4.0,4.0,4.262
46.5,7.374,4.0,4.0,4.253
47.5,7.352,4.0,4.0,4.237
48.5,7.332,4.0,4.0,4.228
49.5,7.313,4.0,4.0,4.236
50.5,7.295,4.0,4.0,4.225
51.5,7.279,4.0,4.0,4.216
52.5,7.264,4.0,4.0,4.214
53.5,7.25,4.0,4.0,4.215
54.5,7.237,4.0,4.0,4.204
55.5,7.225,4.0,4.0,4.194
