,default,min_abs_bias,min_rmsd,observation
0.5,16.875,17.914,17.914,9.976
1.5,16.875,17.914,17.914,9.947
2.5,16.875,17.914,17.914,9.923
3.5,16.875,17.914,17.914,9.906
4.5,16.875,17.914,17.914,9.895
5.5,16.875,17.914,17.914,9.876
6.5,16.874,15.778,15.778,9.829
7.5,16.498,13.602,13.602,9.802
8.5,15.121,12.064,12.064,9.765
9.5,13.957,10.735,10.735,9.678
10.5,13.123,9.605,9.605,9.595
11.5,12.404,8.672,8.672,9.514
12.5,11.774,7.917,7.917,9.087
13.5,11.22,7.309,7.309,8.134
14.5,10.73,6.819,6.819,7.765
15.5,10.295,6.422,6.422,7.212
16.5,9.907,6.099,6.099,6.662
17.5,9.561,5.833,5.833,6.558
18.5,9.25,5.597,5.597,6.494
19.5,8.97,5.379,5.379,6.453
20.5,8.717,5.182,5.182,6.377
21.5,8.487,5.007,5.007,6.358
22.5,8.278,4.854,4.854,6.309
23.5,8.087,4.721,4.721,6.195
24.5,7.912,4.607,4.607,6.019
25.5,7.75,4.51,4.51,5.985
26.5,7.601,4.428,4.428,5.98
27.5,7.463,4.359,4.359,5.964
28.5,7.331,4.301,4.301,5.895
29.5,7.202,4.252,4.252,5.754
30.5,7.077,4.211,4.211,5.616
31.5,6.956,4.176,4.176,5.514
32.5,6.838,4.148,4.148,5.397
33.5,6.725,4.124,4.124,5.285
34.5,6.615,4.104,4.104,5.111
35.5,6.51,4.087,4.087,4.663
36.5,6.408,4.073,4.073,4.459
37.5,6.31,4.061,4.061,4.347
38.5,6.216,4.051,4.051,4.276
39.5,6.126,4.043,4.043,4.259
40.5,6.04,4.036,4.036,4.239
41.5,5.957,4.03,4.03,4.225
